H,V,C,R,G,B
10P,9,6,114,66,137
2.5RP,9,2,91,75,121
2.5RP,9,4,105,70,125
2.5RP,9,6,120,65,129
5RP,9,2,92,75,119
5RP,9,4,108,70,120
5RP,9,6,125,64,121
7.5RP,9,2,93,74,118
7.5RP,9,4,110,69,117
7.5RP,9,6,129,64,115
