@CHORD,1,2,3,4,5,6,7,8,9,10,11,0
C-1,0,0,0,1,0,0,0,1,0,0,1,0
C-4,1,0,0,1,0,0,0,0,1,0,0,0
C-5,0,0,1,0,0,1,0,0,0,0,1,0
Db-1,0,0,0,0,1,0,0,0,1,0,0,1
Db-4,0,1,0,0,1,0,0,0,0,1,0,0
Db-5,0,0,0,1,0,0,1,0,0,0,0,1
D-1,1,0,0,0,0,1,0,0,0,1,0,0
D-4,0,0,1,0,0,1,0,0,0,0,1,0
D-5,1,0,0,0,1,0,0,1,0,0,0,0
Eb-1,0,1,0,0,0,0,1,0,0,0,1,0
Eb-4,0,0,0,1,0,0,1,0,0,0,0,1
Eb-5,0,1,0,0,0,1,0,0,1,0,0,0
E-1,0,0,1,0,0,0,0,1,0,0,0,1
E-4,1,0,0,0,1,0,0,1,0,0,0,0
E-5,0,0,1,0,0,0,1,0,0,1,0,0
F-1,1,0,0,1,0,0,0,0,1,0,0,0
F-4,0,1,0,0,0,1,0,0,1,0,0,0
F-5,0,0,0,1,0,0,0,1,0,0,1,0
F#-1,0,1,0,0,1,0,0,0,0,1,0,0
F#-4,0,0,1,0,0,0,1,0,0,1,0,0
F#-5,0,0,0,0,1,0,0,0,1,0,0,1
G-1,0,0,1,0,0,1,0,0,0,0,1,0
G-4,0,0,0,1,0,0,0,1,0,0,1,0
G-5,1,0,0,0,0,1,0,0,0,1,0,0
Ab-1,0,0,0,1,0,0,1,0,0,0,0,1
Ab-4,0,0,0,0,1,0,0,0,1,0,0,1
Ab-5,0,1,0,0,0,0,1,0,0,0,1,0
A-1,1,0,0,0,1,0,0,1,0,0,0,0
A-4,1,0,0,0,0,1,0,0,0,1,0,0
A-5,0,0,1,0,0,0,0,1,0,0,0,1
Bb-1,0,1,0,0,0,1,0,0,1,0,0,0
Bb-4,0,1,0,0,0,0,1,0,0,0,1,0
Bb-5,1,0,0,1,0,0,0,0,1,0,0,0
B-1,0,0,1,0,0,0,1,0,0,1,0,0
B-4,0,0,1,0,0,0,0,1,0,0,0,1
B-5,1,0,0,0,1,0,0,0,0,1,0,0
Cm-1,0,0,0,1,0,0,1,0,0,0,1,0
Cm-4,0,0,0,1,0,0,0,0,1,0,0,1
Cm-5,0,1,0,0,0,1,0,0,0,0,1,0
C#m-1,0,0,0,0,1,0,0,1,0,0,0,1
C#m-4,1,0,0,0,1,0,0,0,0,1,0,0
C#m-5,0,0,1,0,0,0,1,0,0,0,0,1
Dm-1,1,0,0,0,0,1,0,0,1,0,0,0
Dm-4,0,1,0,0,0,1,0,0,0,0,1,0
Dm-5,1,0,0,1,0,0,0,1,0,0,0,0
Ebm-1,0,1,0,0,0,0,1,0,0,1,0,0
Ebm-4,0,0,1,0,0,0,1,0,0,0,0,1
Ebm-5,0,1,0,0,1,0,0,0,1,0,0,0
Em-1,0,0,1,0,0,0,0,1,0,0,1,0
Em-4,1,0,0,1,0,0,0,1,0,0,0,0
Em-5,0,0,1,0,0,1,0,0,0,1,0,0
Fm-1,0,0,0,1,0,0,0,0,1,0,0,1
Fm-4,0,1,0,0,1,0,0,0,1,0,0,0
Fm-5,0,0,0,1,0,0,1,0,0,0,1,0
F#m-1,1,0,0,0,1,0,0,0,0,1,0,0
F#m-4,0,0,1,0,0,1,0,0,0,1,0,0
F#m-5,0,0,0,0,1,0,0,1,0,0,0,1
Gm-1,0,1,0,0,0,1,0,0,0,0,1,0
Gm-4,0,0,0,1,0,0,1,0,0,0,1,0
Gm-5,1,0,0,0,0,1,0,0,1,0,0,0
G#m-1,0,0,1,0,0,0,1,0,0,0,0,1
G#m-4,0,0,0,0,1,0,0,1,0,0,0,1
G#m-5,0,1,0,0,0,0,1,0,0,1,0,0
Am-1,1,0,0,1,0,0,0,1,0,0,0,0
Am-4,1,0,0,0,0,1,0,0,1,0,0,0
Am-5,0,0,1,0,0,0,0,1,0,0,1,0
Bbm-1,0,1,0,0,1,0,0,0,1,0,0,0
Ebm-4,0,1,0,0,0,0,1,0,0,1,0,0
Ebm-5,0,0,0,1,0,0,0,0,1,0,0,1
Bm-1,0,0,1,0,0,1,0,0,0,1,0,0
Bm-4,0,0,1,0,0,0,0,1,0,0,1,0
Bm-5,1,0,0,0,1,0,0,0,0,1,0,0
